EffortMultiplier,                   VeryLow,  Low,      Nominal,  High,     VeryHigh, ExtraHigh
AnalystCapability,                  1.42,     1.29,     1.00,     0.85,     0.71,         
ApplicationExperience,              1.22,     1.10,     1.00,     0.88,     0.81,         
ProgrammerCapability,               1.34,     1.15,     1.00,     0.88,     0.76,         
PersonnelContinuity,                1.29,     1.12,     1.00,     0.90,     0.81,         
PlatformExperience,                 1.19,     1.09,     1.00,     0.91,     0.85,         
LanguageAndToolExperience,          1.20,     1.09,     1.00,     0.91,     0.84,         
RequiredSoftwareReliability,        0.84,     0.92,     1.00,     1.10,     1.26,         
DatabaseSize,                           ,     0.23,     1.00,     1.14,     1.28,         
SoftwareProductComplexity,          0.73,     0.87,     1.00,     1.17,     1.34,     1.74
RequiredResability,                     ,     0.95,     1.00,     1.07,     1.15,     1.24
DocumentationMatchToLifeCycleNeeds, 0.81,     0.91,     1.00,     1.11,     1.23,         
ExecutionTimeConstraint,                ,         ,     1.00,     1.11,     1.29,     1.63
MainStorageConstraint,                  ,         ,     1.00,     1.05,     1.17,     1.46
PlatformVolatility,                     ,     0.87,     1.00,     1.15,     1.30,         
UseOfSoftwareTools,                 1.17,     1.09,     1.00,     0.90,     0.78,         
MultisiteDevelopment,               1.22,     1.09,     1.00,     0.93,     0.86,     0.80
RequiredDevelopmentSchedule,        1.43,     1.14,     1.00,     1.00,     1.00,         
